Zc,54,4010,false,left,true,1,0,0,0,0,0,0,X,0,2,0,0,0,7,0,GROUND,3,E,2,2,x,false,false,false,"Fast, cubes shooter"
JE,54,2199,false,middle,true,0,0,0,1,0,0,0,E,4,0,0,0,1,0,1,SUBSTATION,4,E,1,3,x,false,false,false,Inconsistent t3 scoring
CW,54,8426,false,middle,true,0,1,0,0,0,0,0,E,0,0,0,1,1,1,0,BOTH,5,E,2,2,x,false,false,false,Bad intake game.
CW,54,7565,false,left,true,0,1,0,0,0,0,0,X,3,1,0,2,1,0,1,BOTH,5,P,0,2,3,false,false,false,Slow movement but great scorong
CW,55,4131,false,middle,true,0,1,0,0,0,0,0,E,1,0,2,0,3,1,0,SUBSTATION,7,E,2,1,x,false,false,false,Very good
RM,55,5727,false,left,true,0,1,1,1,0,0,0,X,1,1,2,2,1,2,0,SUBSTATION,7,P,2,1,x,false,false,false,Very good at collection and placment
JE,55,2370,false,left,true,0,1,0,0,0,0,0,X,2,1,1,1,0,0,0,SUBSTATION,4,E,1,1,x,false,false,false,Couldn't pick up cubes on ground
CW,55,2637,false,right,true,1,0,0,0,0,0,0,X,3,0,2,0,0,1,1,BOTH,8,E,2,1,1,false,false,false,Very fast very god
OC,55,8711,false,right,true,0,1,0,2,0,0,0,X,0,0,0,1,0,0,0,GROUND,4,P,2,3,1,false,false,false,undefined
Zc,55,649,false,left,false,1,0,0,0,0,0,0,E,3,0,1,1,0,0,0,BOTH,4,E,2,2,x,false,false,false,Slow deposit
RM,56,7534,false,middle,false,0,0,0,0,0,1,0,X,0,0,0,0,0,0,0,X,6,E,3,x,4,false,false,false,"Def bot, barely worked"
KVN,56,302,false,left,true,1,0,0,0,0,0,0,X,1,1,2,1,0,1,1,X,4,X,0,2,x,false,false,false,It cross mid during auto
DH,56,2791,false,right,true,1,0,0,0,0,1,0,X,2,1,2,0,0,0,0,SUBSTATION,6,E,3,2,x,false,false,false,Fast and consistent scoring
Mc,56,5940,false,left,true,0,1,1,1,0,0,0,D,2,1,3,2,0,2,0,BOTH,6,E,3,1,x,false,false,false,Very fast and has a 3 piece + balance auto
BV,56,2451,false,right,true,0,0,0,0,0,1,0,E,2,2,1,0,0,1,1,BOTH,5,D,2,2,2,false,false,false,Good
MV,56,1403,false,middle,true,1,0,0,0,0,0,0,E,1,1,1,0,2,0,0,X,0,X,0,3,x,false,false,false,"2451 killed climb, little  confused when it comes to links"
RM,57,1868,false,left,true,1,1,0,0,0,0,0,X,0,0,2,1,0,0,0,SUBSTATION,7,E,3,2,x,false,false,false,Struggle a bit
BV,57,180,false,middle,true,1,0,0,0,0,0,0,E,1,1,0,1,1,0,0,BOTH,3,E,3,2,2,false,false,false,Pretty good
DH,57,8177,false,middle,true,0,1,0,0,0,0,0,X,2,0,2,1,0,1,0,BOTH,7,E,3,1,x,false,false,false,Good.and fast cycling
Mc,57,5414,false,right,true,1,0,0,0,0,1,0,X,2,0,2,0,0,1,0,BOTH,7,E,3,1,x,false,false,false,Good at lo g range low cube
AF,57,9085,false,right,true,1,0,0,0,0,0,0,X,0,0,0,1,0,0,0,X,3,X,0,4,x,true,false,false,Got tangled and was bad driving and picking up cube
MV,57,9019,false,left,false,0,0,0,0,0,0,0,X,0,0,0,0,0,2,0,GROUND,2,E,2,4,x,false,false,false,"Struggles, l1 only, slow"
AF,58,840,false,left,false,0,0,0,0,1,0,0,X,0,0,0,0,0,0,0,X,2,X,0,x,x,false,false,false,Wasn't good then just went to charging station
Mc,58,5901,false,left,true,1,0,0,0,0,0,0,X,2,1,3,0,0,0,0,X,6,X,2,2,x,false,false,false,undefined
